question,answer
夢見敵人收割稻穀,是不祥之兆，敵人會給自己造成障礙。
夢見高粱,預示學習成績好，聲名遠揚。
夢見白薯,吉兆，預示著生活會幸福。
夢見吃白薯,身體不久會痊癒。
夢見芝麻,代表著事業會更上一層樓，大吉大利。
夢到芝麻,意味著生意很興隆。
夢見芝麻開花,大吉，俗話說芝麻開花節節高，會發大財。
夢見芋頭,預示出遠門準備充足，路上不會缺少吃穿。
夢見走在玉米地裡,預示近期會有意外的驚喜。
夢見玉米長得很茂盛,預示近期會有好的運氣。
夢見剝開斑駁的玉米穗,表示你將迎來各方面的成功和快樂。
夢到他人採集玉米,預示你將為朋友或親戚的成功而高興。
夢見玉米成熟,表示名望和財富，看到滿倉貯藏的玉米，預示你最大的願望即將實現。
夢見無包皮的玉米,表示財源滾滾以及許多人的喜愛。
夢到食用新鮮的玉米,表示朋友之間的和諧，如果年輕人做此夢，意味著幸福的婚姻!夢見吃玉米，吉兆，預示著生活會幸福。
夢見紅薯,吉兆，預示著生活無憂，吃喝不愁。
夢見瓜鍾,預示著會得貴人提拔。
夢見穀粒是幸運的象徵,表示你可能如願的得到快樂和財富，過著無憂的生活。
夢見穀粒,表示能結識一位有為又富有的青年，讓旁人都非常羨慕。
夢見你躺在一堆稻米之中,這是吉祥之夢，表示家中的下一輩將出貴人，以後的官階可能做到很高。
夢見你們家的屋頂上長出稻子來,表示你們家本輩族人中將有人做官。
夢見穀糠,暗示最近生意不好做，投資也出現大面積虧損，建議以靜觀為主。
夢見成堆的穀糠,預示在不體面的毫無用處的謠言上浪費了大量時間，這使她聲名狼藉，以至於失去自己的丈夫，失去在她沒有工作時養家餬口的丈夫。
夢到蘆筍,表示周圍環境一片繁榮景象，你會獲得手下人和小孩子的尊重。
夢到自己吃蘆筍,預言成功會遇波折。
夢到竹筍,預示著可能會遇到困難。
夢見栽筍,多遇貴人與朋友之兆頭。
夢見吃嫩筍,有愛情到來。
夢見綠色的捲心菜,意味著感情上的不忠實和對婚姻生活的背叛。
夢見割捲心菜,表示由於揮霍浪費，你將把圍繞著你的災難的繩索拉向自己。
夢到自己把捲心菜的根砍掉,表示所有麻煩的事你都有辦法打發掉。
夢見圓白菜,不幸的消息會到來，你需做好心理準備。
夢見薺菜,主近期愛情關係複雜，煩惱多。
夢見蓴菜(菁菜),謙虛謹慎，方能得到領導的認可。
夢見男人採蓴菜(菁菜),會給丈夫帶綠帽子。
夢見在池塘裡採蓴菜(菁菜),關係會恢復。
夢見園地都是瓜菜,預示著得到良姻。
夢見滿地瓜菜,預示著將得到名利，田產，和良姻。
夢見你正吃著瓜,意味著你一時大意所惹的禍使你很焦慮。
夢見蔬菜,通常預示你會獲得成功。
夢見買菜,預示夢者通過自己的努力會獲得收穫。
夢見向別人分發蔬菜,所在地要出現流行病。
夢見人搶手裡的蔬菜,將要發生不幸的事故，身體受傷。
夢見莧菜,暗示最近學習成績下滑，有貪圖遊玩的心態，要注意剋制。
夢見紅莧菜,意味著溝通運蠻不錯的，與久未聯絡的朋友通通電話。
夢見紅辣椒,預示著自己的隱私被人發現，處境艱難，被別人看不起，由此也會帶來其他方面的困難和阻礙。
夢見摘紅辣椒,預示預示但也要防因女人而起的糾紛。
夢見白蘿蔔,在周公解夢裡是會生兒子的預兆。
夢見拔白蘿蔔,吉兆，是生兒子的預兆。
夢見吃生蘿蔔,預示可能你家裡要來客人。
夢見吃蘿蔔,預示不久後會懷孕，且可能生女兒;孕婦做此夢也有同樣的預兆。
夢見做蘿蔔菜,可能預示你會受窮捱餓，或者家裡會人生病。
夢見賣蘿蔔,預示你工作上將受挫折，有被解聘的危險。
夢見買蘿蔔,預示你家裡會來貴客，要花不少精力、錢財招待，需要提前有所準備。
夢見賣菜,預示著通過自己的努力會獲得成功。
夢見自己買菜,預示夢者有機會旅行，有小困難，心靜則安。
夢見蒜苗,預示著會有憂慮的事情。
夢見成堆的蒜苗,預示著家人都會很憂慮。
夢見蒜薹,代表著你會遇到尷尬的事情;預示著別人會知道自己的秘密。
夢見大蒜,別人會知道自己的秘密，遇到倒黴的事。
夢見成堆的大蒜,暗示家裡遇到困難，陷入憂慮，捱過一段困窘的日子。
夢到正在吃大蒜,表示你重視生活上的享受，而毫無理想的目標。
夢見青辣椒,提醒著你有發財的機遇，這個機會是在遠方。
夢到青椒,預示著生活中可能和別人會產生摩擦影響心情，只要妥善處理不會對生活產生過多影響。
夢見辣椒,提醒你要冷靜，學會剋制自己的情緒，以免後悔。
夢見幹辣椒和紅辣椒,還警告你要學會節制，不要過度放縱，否則將來可能會給自己造成極大的傷害或損失。
夢見辣椒辣得舌頭很難受,預示夢者因為自己愛湊閒話，你的熟人將不會給你好臉色。
夢見長勢喜人的紅辣椒,預示夢者的人生伴侶生活節儉，很獨立。
夢見一堆堆紅辣椒,預示夢者將十分霸道地維護你的權利。
夢見碾磨黑胡椒,預示你將成為工於心計的男人或女人的陰謀詭計的犧牲品。
夢見放在桌子上的胡椒粉,預示著刻薄的指責和激烈的爭吵。
夢見往食物中撒胡椒粉,預示你的朋友將欺騙你。
夢見蓮藕,吉兆，會結交好友。
夢見吃蓮藕,大吉大利之兆，此夢意味著準媽媽的身體不適情況將會得到緩解、疾病將會得到治癒，所以準媽媽趕緊從疾病的陰霾中走出來吧!。
夢見藕,吉兆，會有高興的事情發生。
夢見向陌生人贈送藕,靠朋友能發財。
夢見蓮藕是非常吉祥的,此夢暗示著準媽媽生活非常的順利、安穩，寶寶的生長發育也是很穩定的，不用過分的擔心哦!。
夢見自己買蓮藕的話,暗示近期準媽媽會有破財的徵兆，但是如果能破財免災的話準媽媽就不要太在意錢財的得失，健康安全才是最重要的哦!。
夢見挖蓮藕對準媽媽來說也是好事一件,這個夢暗示著準媽媽會交到真心、真誠的知心朋友，而且還能給準媽媽很多的幫助。
夢見很多的蓮藕是話則是對生活的,預示暗示代表著準媽媽生活富足有餘、美滿幸福。
夢見蓮藕兩節的話,準媽媽會很高興的，因為此夢暗示著孕婦腹中懷有雙胞胎或是龍鳳胎哦!。
夢見芥菜長勢很好,對於農民，預示豐收和幸福;對於航海人，預示財富。
夢見食用芥菜種子,感覺嘴裡火辣辣的像著了火，表示你曾經的行為不慎給自己帶來不幸，你將痛苦地懺悔。
夢見食用烹飪好的綠色芥菜,表示過度浪費金錢引起的心理上的壓力。
夢見食用鮮嫩的芥菜,預示為了滿足自己的私慾，你不惜花費金錢。
夢見採水芹菜,主事神有敬信之誠。
夢見吃水芹菜,主治家簡約。
夢見芹菜,表示你的工作順利，財運亨通。
夢見別人給自己芹菜,預示你會得到意外之財。
夢見自己給別人芹菜,表示人際關係順利，你會憑藉誠實守信，得到很多朋友信任。
夢見看到芹菜,預示著你的事業會很興隆，而且超出你的期望。
夢見新鮮的易斷的芹菜杆,你將比自己希望的更加興旺和有影響。
夢見正在腐爛的芹菜,不久你的家人將有人離世。
夢見吃芹菜,預示著身體健康，生活順利。
夢見和她的戀人一起吃芹菜,表示她將變得很富有。
夢見杜松樹,表示戀愛經歷不如意之後，會有一個光明的未來等著也。
夢見尖椒,預示著自己的隱私被別人發現時產生的尷尬。
夢見番茄,吉兆，預示著生活會幸福。
夢見吃番茄,意味著嫁給身強體壯的丈夫。
夢見腐爛的番茄,是不祥之兆，會遭厄運。
夢見出售番茄,會受欺辱。
夢見購買番茄,不久客人會登門。
夢見收穫番茄,喜事要上門。
夢見滿地都是蒜頭,表示你太注重門面了，而忽略了人的感情，會給家庭生活帶來隱患。
夢見大蒜頭,則象徵女人的生育能力。
夢見剝大蒜,還暗示秘密會被揭開，讓你和周圍的人發生矛盾，或是遇到不順心的倒黴事。
夢見吃大蒜產生辛辣嗆人的感覺,表示將遭遇令你不得不忍受的變化，內心會有憂慮。
夢見大蒜髮芽,預示家裡增加人口，可能會有小孩出生。
夢見種大蔥,預示著努力付出就會有所收穫。
夢見大蔥,預示你可能有秘密被戳穿，會感到尷尬。
夢見吃大蔥,預示你一切順利。
夢見自己吃蔥,預示生下來的孩子會很聰明。
夢見銷售大蔥,預示生意興旺。
夢見吃腐爛的瓜類,預示會得疾病。
夢見腐爛的東西,預示要經歷風雨，痛苦之後預示著新生。
夢見麻豆麥者,預示著會得到酒食。
夢見麻豆麥,預示雙方感情會得到進一步發展，將有可能步入婚姻殿堂。
夢見小扁豆,表示爭吵和不良的處境。
夢見豆類,病情會慢慢好轉。
夢見吃混合豆子,要去長途旅行。
夢見購買豆子,會窮困潦倒。
夢見給別人豆子,貴客會臨門。
夢見賣豆子,祥兆，會應邀赴宴。
夢見種芸豆,吉兆，預示著生活會幸福。
夢見吃芸豆,要注意身體健康。
夢見綠豆,吉兆，預示著生活會很富足，無憂無慮。
夢見種綠豆,生活會幸福。
夢見毛豆,吉兆，預示著生活會富有。
夢見吃毛豆,要注意孩子的健康。
夢見槲寄生生長,意味著做夢人需要找一個靠山。
夢見槲寄生開花,表示做夢人應該跟目前的夥伴保持聯繫，維持友誼。
夢見枸杞,代表著近期的運氣很好，心想事成。
夢見蒼勁壯美的雪松,表示你在事業上將取得令人欣喜的成功。
夢見毀滅的枯死的雪松,表示絕望。
夢見黑檀木,象徵著你與同事的關係會變差。
夢見黑檀木傢俱,或其他黑檀木材質的物品，你的家庭內部成員之間將有很多讓人煩惱的爭執和糾紛。
夢見自己把黑檀木送給了領導,說明你最近要小心，別和領導發生爭吵，否則你和領導關係會變得更差。
夢見一叢叢枝繁葉茂的接骨木,預示家庭幸福，以及愜意的鄉間生活風光秀麗，快樂無比。
夢見接骨木,表示你是個熱心助人的人，當您發覺身邊的朋友需要幫助及安慰的時候，您會挺身而，出不求回報，所以您是朋友堆中受歡迎的人。
夢見自己戴著一小枝香桃木,預示夢者將嫁給一個有錢的很有頭腦的人。
夢見香桃木凋謝,表示她將因為自己行為不慎而失去幸福。
夢見桃木,這個是吉兆，代表著你的生活會幸福。
夢見白楊樹,預示著精神強健，挺秀歲寒，惜不合時宜耳。
夢見和愛人一起站在一棵白楊樹下,意味著她最奢侈的願望將得以實現，她將不僅擁有英俊優雅的愛人，也將擁有財富和朋友。
夢見父親種白楊樹,意味著男性年長的人物為你帶來幸運的可能。
夢見自己家屋上長了棵白楊樹,說明了你家在今後一定會高高在上，好運直衝雲霄，白楊本來也是美好的象徵。
夢見家中長出楊樹,表示運勢極亨通。
夢見砍去楊樹,主父母棄養。
夢見白楊樹開花,孃家會有不幸的消息。
夢見自己被石南纏住;邪惡的敵人誹謗你,做偽證陷害你，他們編織的圈套雜亂地繞著你，會使你很不幸。
夢見刺果,表示你努力把自己從不愉快的負擔中解脫出來，你將尋求環境的改變。
夢見在果林漫步,預示著發財。
夢見果林裡碩果累累,預示你將得到豐碩的收穫，事業有成，財運亨通，或將會得到提升。
夢見自己划著船去果林看見很多桃花,你的事業有一番新的領地，或者是你的感情會有突破性的發展。
夢見砍喬木,家中老父將要駕鶴西遊。
夢見一棵樹,枝條一般伸開，顯示出做夢人有溫馴可愛的性格。
夢到樹根,一方面可能表示你在實際生活方面能力紮實，另一方面也有可能預示生活中將有新的變動，或即將開始新生活。
夢到樹幹,表示你對周圍的環境具有很強的影響力。
夢到樹枝,表示你天性溫柔可愛。
夢見枝繁葉茂的樹木,預示會得到提升，事業順利。
夢見樹木茂盛,如已婚，預示會懷孕，喜得貴子;如未婚，表示將來會嫁給富有的丈夫。
夢見森林裡的樹木茂盛,預示生意紅火，財源旺盛。
夢見開花的樹,預示你會有意料之外的好事。
夢見樹木漸漸枯萎,表示你運勢不太好。
夢見枯木突然開花,預示你的人生低俗結束，艱苦的日子即將過去，失去的將重新獲得，好日子即將來到。
夢到自己爬樹,你可能正為了實現某個目的，制訂計劃和動用資本，但做這個夢同時也在小心提醒你，有時好心幫助別人，並不一定就能得到好報。
夢見在有樹木和水池的庭院漫步,預示你在與人交往方面很順利。
夢見樹主健康,樹筆直挺拔，象徵著人的健康;。
夢見大片樹林蔥鬱茂盛,暗示夢者將大吉大利，事業發達，完事順心，將會有一番大的作為;。
夢見庭院的樹木茂盛,一家人都很健康且和好繁榮的吉夢。
夢見公園裡樹木繁茂,則可獲金錢上的利益，生意越做越大，但是砍院子裡的樹木，則應注意發生盜案或掉東西之虞。
夢見森林裡的樹木生長茂盛,預示著夢者在不久的將來就要升官升職、加薪或者得到一筆錢財;。
夢見梧桐樹,會受人尊敬。
夢見楊柳,經常預示失去朋友的悲哀，同時也可能在警告你要特別注意男女關係，提醒你一定要慎重。
夢見枯萎的楊柳,預示著你可能會發生不幸。
夢見紅色的楓葉,預示將又一個如意伴侶與夢者共墜愛河。
夢見樹皮,提醒你在與異性交往時，要小心謹慎，真心實意，否則可能會遇到麻煩。
夢見枯樹從底部開紅花,最近愛情方面有機會和戀人坦誠交流，相處也變得更加無拘無束。
夢見樹落葉,預示著近期你的運勢不佳，可能會和朋友分手，情緒上也會很憂鬱、焦慮。
夢見樹葉枯萎、衰敗的落下,預示著你近期可能要有一段不幸的遭遇，或經歷某些低谷，要堅強面對。
夢見收集落葉,預示著近期你會為了生活做些讓人瞧不起的事情，是不祥之兆。
夢見枯萎的落葉,預示著近期你在夫妻生活的道路上會形單影隻;另一方面也預示著死亡，是不祥之兆。
夢見滿地落葉,預示著近期你的內心非常的焦慮不安，運勢也不佳，是不祥之兆。
夢見大風過後樹葉落滿地,預示著你近期在工作上對團隊不是很信任，瑣細的事情都要親力親為，會讓你產生很多的壓力，建議你要適當的調節身心，同時也要多信任大家。
夢見室內滿是落葉,預示著近期你的心情百感交集，萬事不順，自己的內心也有一種淒涼、茫然的情緒。
夢見樹葉掉光了,預示著長期以來的困惑或不適的心情會得到改善，生活也會很幸福，身體會很健康。
夢到滿地的葉子,暗示你要好的朋友將與你分離，即將遠行，所以你心中不免憂傷。
夢到飛舞的落葉,表明近日你家中會有不和的事情發生，所以要謹慎行事，互相謙讓。
夢見落葉學業出現危機,如果沒有多加註意、好好用功一番，成績將可能一落千丈，讓你懊悔不已。
夢見枯葉飄落,預示著自己將會度過非常難過的一段時間，親友恐怕都不會在自己身邊，只能自己堅持。
夢見綠葉中些許枯葉,表示自己將會犯錯，並且被人抓到。
夢見火燒枯葉,表示自己將會發財。
夢見得到別人送的羅望子,會官運享通。
夢見老公送桃木梳子,代表你們倆感情和睦，恩恩愛愛，是個好夢。
夢見松蕈群生,可能預示你會受到親人誤會，失去家庭溫暖。
夢見松蕈變成靈芝草,預示你將要過上富裕的生活，令人羨慕。
夢到自己來到了一棵杉樹下面,杉樹好高好高，他仰起頭，可是卻看不到杉樹的盡頭。
夢見杉樹,則暗示著做夢人的健康會受到威脅，身體可能大不如前;夢見杉樹還預示著做夢人的人際關係將會出現問題，總而言之，夢見杉樹是很不好的先兆。
夢見熱帶雨林,顯示出你有強烈的焦慮感。
夢見天竺牡丹花鮮豔美麗,意味著好運將要來臨。
夢見天竺牡丹花,預示著你在社交方面很有天賦，也帶給你事業上的成功，同時還會得到上司的提升，或事業上經過長期的奮鬥，終於得到了豐碩回報。
夢見菖蒲,提醒你要注意抵制外界誘惑，堅持本心，以免失去丈夫的寵愛。
夢見一株睡蓮或睡蓮在生長,象徵你會有悲喜交加的事情。
夢見睡蓮枯萎,暗示事情的發展出乎你的意料。
夢見採摘睡蓮,意味著不好的事情就要發生了。
夢見一朵或幾朵蓮花,會成為放蕩的女人，或與體弱多病的男人通姦。
夢見男人採蓮花,會因丈夫身染沉痾，處境愈來愈糟。
夢到玫瑰花,暗示夫妻之間相親相愛，白頭偕老。
夢到摘玫瑰花蓓蕾,會娶一個國色天香的少女為妻。
夢到一束花,那麼玫瑰的數目和顏色很重要(夢到數字，見顏色)。
夢見別人向你送玫瑰,預示著你的事業會取得極大的成功。
夢見矢車菊,表示沉思，和內心的寧靜。
夢見矢車菊乾花,暗示做夢者信念乾枯，心灰意冷。
夢見盛開的矢車菊,說明你所做的事情就要成功了。
夢見帶花蕾的鬱金香,是你心裡微微有些失望的表示。
夢見盛開的鬱金香或者採摘鬱金香,預示繁忙的階段將要告一段落了。
夢見採含苞的鬱金香,如果你單身可能有段美好的戀情正等著你，如果你已經有了另一半，你們的愛情可能就要有歸宿了哦。
夢見開梅花或梅花開,表面經過痛苦的掙扎，終於要過上幸福的生活了。
夢見吊蘭則表明你在最近生活愉快,既使是遇到挫折也很快會走出困境。
夢見吃丁香,或用丁香木料，則煩惱全無。
夢見路邊的雜草隨風搖擺,預示你身邊可能會遇到些微妙而有趣的事情。
夢見在草地上除草,預示在與人交往方面，你將會遇到困擾。
夢到自己拔草,表示你認識到只有擺脫生活中的瑣碎，才能為成長開拓空間，發展新的能力。
夢見白玫瑰,預示著情敵會出現，要注意和戀人之間的關係。
夢見帶刺的紅玫瑰,則表示了對女人的矛盾心理，既渴望性愛，又感覺到會被刺傷。
夢見天真無邪的雛菊,表達做夢者心中在渴望兩小無猜的感情。
夢見摘雛菊,預示著自己的生活水平會得到逐步提高。
夢見贈送雛菊,表明人際關係會處理融洽。
夢見一束雛菊,暗示悲傷。
夢見雛菊在不合時令的季節裡開放,你將遭到經過偽裝的邪惡勢力的攻擊。
夢見自己在雛菊朵朵盛開,陽光燦爛，鳥語花香的地方，預示幸福、健康和財富將競相而來，伴你走過最為幸福的人生長途。
夢見蓖麻油,則暗示著自己會有禍事出現，可是，到最後的結果卻是好的。
夢見“棗”的時候,往往落腳點在它的香味色澤和味道。
夢見大棗或吃棗,表示會生兒子。
夢見吃紅棗和摘紅棗,則戀情陷入低谷，不太顧及對方的感受，單方的付出難以得到對方的回應，有自作多情的可能。
夢見稻、麥的穗分叉為二,在股市中表明你從事買賣的股票雙倍增資。
夢到穀倉或糧倉稻、麥的穗分叉為二,那是繁榮的預兆。
夢到有人在拾麥穗且麥穗分叉為二,預示將要獲得豐收。
夢到自己跟別人一起拾麥穗且麥穗分叉為二,預示你會經過自己的一番努力付出，得到應有的回報，或是積攢下一份財產。
夢見碩果累累,預示著愛情和事業都是大豐收。
夢見果樹碩果累累,表示你的一段單戀情將有成果出現，戀愛可以得到順利發展。
夢見蘋果樹上碩果累累,是吉兆，她會很快懷孕。
夢見葡萄果實累累,表示不愉快的事即將發生。
夢見果樹結滿果實,表示將被年長的人熱愛、而你也將愛上他。
夢見葡萄或是正在吃葡萄,表示你的心願會實現，但是如果夢中的葡萄酸澀難吃，是暗示你會歷經艱苦後還是會失敗，千萬不可固執己見，太過魯莽。
夢見碩果累累的棗樹,生意會出現空前的興旺，若出國訪問會揚名天下。
夢見吃蟠桃,工作上會遇到較多自己沒有把握的事情，對他人的依賴感增強。
夢見吃蟠夢蟠桃,最近愛情方面有多情的傾向，情感容易陷入混亂的狀態，但是也有結婚或生育的衝動。
夢見蟠桃,主旅行會遇到貴人，會選擇到不錯的女婿，並且身體健康。
夢見葡萄園,表示工作順利，愛情如意。
夢見因疏於管理而瀰漫著難聞氣味的葡萄園,表示你將在生活中充滿失望。
夢見葡萄,會認識很多新朋友，也是身體健康的徵兆。
夢見葡萄園裡葡萄樹上果實累累,或者夢見成熟的紫葡萄，預示生活如意，會有好事上門。
夢見葡萄園裡成串的葡萄,預示會認識很多新朋友;夢見成熟的紫葡萄，表示將步人生活的佳途，值得慶賀;。
夢見成熟的紫葡萄,表示將步人生活的佳途，值得慶賀;。
夢見剝大慄,你可能會解決一個長期不能解決的難題。
夢見自己在炒大慄,或煮栗子，要當心被你信任的人欺騙。
夢見吃大慄,預示你可能會跟異性發生不同尋常的關係。
夢見摘大慄,表示你父母健康。
夢見小黃瓜,意味著繁榮，你很富裕。
夢見黃瓜大吉,表示健康和發達。
夢到食用黃瓜菜餚,表示他將很快恢復健康。
夢見黃瓜,意味生活中讓人愉快的變化。
夢見芒果,吉兆，會有好運氣。
夢見吃芒果,身體不久會恢復健康。
夢見喝芒果汁,吉兆，生活會幸福。
夢見各種各樣的糧食,表示做人的生活舒適富裕，幸福快樂。
夢見糧食堆滿穀倉,倉滿稟實的情景，預示做人將來財運享通，事業發達。
夢見顆粒飽滿的糧食,預示要發財，收穫豐厚。
夢見乾癟的糧食,則暗示財富沒有你預期的那麼多。
夢見黃麻,生意發達。
夢見購買黃麻,會與丈夫相親相愛，白頭到老。
夢見做黃麻物品的買賣,生意會蕭條。
夢見風信子,或是採摘風信子，表示跟你的朋友會有短暫的別離，使對方感到很難過，但是過後證明，別離對於你是有益處的。
夢見荊棘纏繞著你,預示可能會有官司纏身，而且形勢可能對你不利，也可能預示你或是家人要生病，要多注意身體健康。
夢見荊棘隱藏在綠色的樹葉之下,表示你的興盛將受到來自隱秘對手的干擾和破壞。
夢見蒲公英在綠葉襯托下綻放,預示婚姻的美滿幸福，以及欣欣向榮的相關境況。
夢見蒲公英或蒲公英的絨毛飄在空中,預示你可能很快會有一次快樂的旅行，旅行中說不定還會遇到多年不見的老朋友。
夢見常春藤,表示你身體相當健康，經濟富足。
夢見綠色的常春藤爬滿樹或房子,預示身體健康，財源滾滾。
夢見月光下爬滿牆壁的常春藤,表示最近她將和年輕的男人幽會。
夢見凋謝的常春藤,意味著取消婚約和其他悲傷的事。
夢見家中的常春藤,預示著你的生活幸福如意;夢見戶外的常春藤，表明你有忠實可信的朋友;夢見攀樹而長的常春藤，代表著健康與活力。
夢見攀牆而長的常春藤,標誌著你將會擁有財富。
夢見因種植大麻而引起突發事故,表示她和朋友之間將發生嚴重的爭執和分歧。
夢見大麻種子,預示將有賺錢的好機會。
夢見木莓,要給別人做妾，或者未婚夫不喜歡自己，會愛上別的女人。
夢見吃木莓,夫妻和睦，幸福快樂。
夢見吃腐爛的木莓,倒黴的日子要到來。
夢見吃生木莓,意味著要生病。
夢見購買成熟的木莓是祥瑞,家裡要辦喜事。
夢見出售木莓,不幸的日子要到來。
夢見給別人木莓,會名揚天下。
夢見得到木莓,是吉兆，不久會貴客登門。
夢見妻子送木莓給自己,是大吉大利的徵兆，妻子會生一個男孩。
夢見胡椒,表示做夢人正在轉移興趣，可能有了新的關注對象和愛好。
夢見吃胡椒,要注意身體健康，暗示會生病。
夢見飯菜裡胡椒太多,預示會和妻子因為生活瑣事起爭執。
夢見房間外撒落胡椒,可能家裡會遇上麻煩事，令人心煩。
夢見磨胡椒麵,可能你周圍的鄰居中會有人生病。
夢見別人往頭上扔胡椒粒,預示你會有好運氣，困難和煩惱已過去，將來一切順利。
夢見胡椒從手中掉落在地上,暗示你要遭受損失。
夢見做黃麻製品的買賣,生意會蕭條。
夢見到自己食荷葉的根和種子,大病的會很快痊癒。
夢見開放的荷花,能發財。
夢見陌生人向自己贈送荷花,靠朋友能發財。
夢見吃荷葉包的食物,身邊有人會升官發財，而自己會獲得這位貴人的信任。
夢見藤條,會因為自己工作中的失誤受到懲罰，被降職甚至解僱，需要認真負責地對待工作，發現錯誤勇於承認。
夢見海帶,身體會很快恢復健康。
夢見紅葉,會讓人瞧不起。
夢見收集紅葉,會為生存做低三下四的事情。
夢見人參,預示夢者的病情並不複雜，很快就能夠痊癒，只是病後需要一段時間調養，不要太過勞累。
夢見個大的人參,預示夢者生男孩兒的可能性會比較大，而且孩子身體會很強壯，輕易不會生病的。
夢見個子小且長滿鬚子的人參,生女兒的幾率大。
夢見山藥,預示暗示孕婦夢見山藥意味著準媽媽將會生下一個男寶寶哦!孕婦夢見山藥也暗示著孕婦和寶寶都非常的健康呢!。
夢見吃山藥的話,則是對生活狀態的預示，揭示出夢者的生活非常的穩定、幸福安康，而且夢者家境也是非常殷實哦!。
夢見丈夫吃山藥的話,那夢者就要提醒自己的丈夫要注意身體了!此乃是暗示著夢者的丈夫近期可能有健康方面的問題哦!。
夢見的是小孩子在吃山藥的話,那則是吉祥的預示意義了，此夢暗示著夢者腹中的胎寶寶生長發育很是穩定呢!而且也暗示著夢者對孕期營養的補充做得非常好!。
夢見山藥爛了,那夢者就要引起足夠的重視了，這暗示會有安全問題，夢者一定要更加小心，尤其要防止流產等意外情況的發生哦!。
夢見兩根山藥的話,則要恭喜夢者了呢!因為這個夢暗示著夢者腹中懷有雙胞胎或者是龍鳳胎的機率是非常大的，夢者可以免受第二次生育之苦哦!。
夢見陌生人送自己山藥的話,首先預示夢者生活中遇到了困難，不過不用擔心此夢意味著會有貴人前來幫助夢者哦!。
夢見仙人掌,肚肚裡的孩子茁壯成長，和仙人掌一樣，生命力極強。
夢見仙人掌腐爛,意味著最近有升職的機會，要好好把握。
夢見仙人掌刺手,提醒小心會有不必要的損失。
夢見仙人掌開花,是歷經坎坷終遇貴人提攜之吉兆。
夢見青翠茁壯的幼苗,這是一種名譽、財富和成功的象徵，表示你個人將會得到財富和成功。
夢見稻穀被人偷割,意味你最強烈的慾望將要實現了。
夢見綠色的青苗,預示著生活充滿歡樂與幸福。
夢見自己在插秧,表明他是意味勤勞之人，會把家事操持得井井有條。
夢見仙人球,吉兆，夫妻感情會很甜蜜。
夢見靈芝是吉兆,寓意會有好運降臨或是得到意想不到的收穫。
夢見靈芝,吉照即為濟世，將來有普渡福力，珍惜漸行漸進。
夢見常青藤,通常來說，跟回憶中快樂的情景或慶祝活動有關，表示健康、歡樂和蓬勃的生命力，有時也表示你有強烈的依賴性，或者與朋友之間的友情發展順利。
夢見家裡的常青藤,表示你家庭和睦，生活幸福。
夢見栽在盆中的常青藤,表示個人生活幸福如意。
夢見生在戶外的常青藤,表明你有忠誠可靠的朋友。
夢見蔥頭,意味著隱私被公開，受到精神和肉體上的折磨，還要承擔經濟損失。
夢見用蔥頭做菜,則是家人生病的預兆。
夢見吃蔥頭,意味著自己心情愉快，萬事如意。
夢見賣蔥頭,則是生意旺盛的預兆。
夢見吃大麥,意味著要結婚。
夢見和乞丐施捨大麥,要遭厄運，會生病。
夢見收大麥,要發財。
夢見大麥綠苗,夫妻生活安寧、美滿。
夢見吃稞麥,是不祥之兆，會家徒四壁。
夢見稞麥,路上會發生車禍。
夢見成堆的稞麥,去山區療養，對健康有好處。
夢見做稞麥生意,是凶兆，災難會臨頭。
夢見住宅的四周撒滿了稞麥,家裡矛盾重重，最後會四分五裂。
夢見小麥長勢良好,生意興旺，財源廣進。
夢見麥地,吉兆，會發財。
夢見未種莊稼的閒田地,會遇到困難。
夢見莊稼田,生活會富裕。
夢見麥田,做夢者的最大願望將得以滿足，每一次努力都有成果，但有任何的腐爛都表示損失。
夢見小麥金黃一片,表明夢者財運興旺。
夢見小麥倉庫損壞,暗示夢者近期生活將有些艱難，不過要相信困難遲早都會過去的。
夢見種小麥時田裡雜草多,預示著夢者在前進的道路上會遇到艱難險阻，但凡優秀的人才都不會畏懼艱難險阻的，都會選擇將雜草全部除去，會跨越過一道道坎兒。
夢見小麥熟了,暗示您長期地努力付出，終於要得到回報了。
夢見收割小麥,是好事、豐收的徵兆，說明您的財運和事業，將會欣欣向榮。
夢見水稻成熟了,預示著付出有了回報，夢見收割水稻，預示著財運和事業，將會欣欣向榮。
夢見豬飼料,預示著自己將會一事無成。
夢見雞飼料,表示自己將會為了生活而奔波，但是卻會一直難以得到好的發展。
夢見魚飼料,預示著自己將會在事業上得到不錯的發展，但是卻會忽視掉另外的重要的東西。
夢見和其他人一起吃甜菜,表示你的交遊很廣，到處有人歡迎你。
夢見甜瓜,表示健康狀況不佳，事業上的冒險也很不幸。
夢見甜瓜、吃甜瓜,會延年益壽，身體健康。
夢見吃甜瓜,預示著你日後將會生下健康的男寶寶，是吉兆。
夢見有許多蔬菜,表示生活舒適富有。
夢見餐桌上有各種各樣的蔬菜,也可能表示了你近期對健康飲食的渴望。
夢見品種異常豐富的蔬菜或海鮮,還可能表現你心理對眼前經濟狀況的憂慮。
夢見到超市或菜市場買菜,預示事業上，你會通過自己的努力，贏得成功。
夢見自己在切菜,暗示你要當心被朋友欺騙，遭受經濟損失。
夢見把餐盤裡的菜餚弄翻,弄髒了衣服，預示在愛情方面會出現波折。
